date,sku_id,sku_name,sku_category,Principle,qty
45658,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),256
45659,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),565
45660,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),242
45661,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),300
45662,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),274
45663,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),176
45664,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),229
45665,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),199
45666,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),144
45667,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),204
45668,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),90
45669,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),173
45670,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),232
45671,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),224
45672,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),192
45673,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),194
45674,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),248
45675,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),120
45676,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),259
45677,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),270
45678,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),197
45679,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),199
45680,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),121
45681,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),141
45682,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),253
45683,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),277
45684,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),254
45685,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),126
45686,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),230
45687,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),418
45688,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),314
45689,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),364
45690,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),256
45691,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),333
45692,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),333
45693,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),307
45694,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),261
45695,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),235
45696,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),254
45697,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),231
45698,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),250
45699,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),242
45700,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),462
45701,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),171
45702,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),180
45703,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),307
45704,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),257
45705,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),364
45706,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),198
45707,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),222
45708,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),243
45709,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),282
45710,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),262
45711,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),321
45712,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),273
45713,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),198
45714,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),433
45715,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),191
45716,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),371
45717,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),325
45718,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),341
